time,setpoint_roll,gyro_roll,setpoint_pitch,gyro_pitch,motor_1,motor_2,motor_3,motor_4
0.0,0.0,10.74552139319584,0.0,11.987204095375905,1000.0,1020.0,980.0,1600.0
0.0005,0.9424743078746846,21.402178087173496,0.6031843607210261,22.538586657276873,1001.8849276866288,1022.1676668396232,981.9791740709602,1603.7698553732575
0.001,1.8849276866288012,29.055696017097944,1.2063601488571347,30.912582732299015,1003.7696879430816,1024.3351411345438,983.9581723402357,1607.5393758861633
0.0015,2.827339207606547,31.63810344009095,1.8095187919452433,35.4065791602503,1005.6541133540546,1026.502230357163,985.9368190217574,1611.3082267081093
0.002,3.7696879430816352,28.66020092273517,2.412651717765939,35.16371145012185,1007.5380365339869,1028.668742014085,987.9149383606863,1615.0760730679738
0.0025,4.711952966722031,21.363863731332962,3.015750354465308,30.359647313630788,1009.4212901419286,1030.8344836632177,989.8923546490249,1618.8425802838572
0.003,5.65411335405465,12.335384245048182,3.6188061306767603,22.164291652040284,1011.303706896405,1032.9992629308656,991.8688922412251,1622.60741379281
0.0035,6.596148182930025,4.700237969419172,4.22181047564285,12.486760809466922,1013.1851195902756,1035.162887528817,993.8443755697893,1626.3702391805512
0.004,7.538036533986908,1.1499780406636049,4.82475481933708,3.5592183778071735,1015.0653611055866,1037.3251652714246,995.8186291608658,1630.1307222111732
0.0045,8.47975749111682,3.1042289233707976,5.427630592585707,-2.5497090824334485,1016.9442644284147,1039.485904092677,997.7914776498354,1633.8885288568295
0.005,9.421290141928534,10.268687660781769,6.030429227189527,-4.38586738165948,1018.8216626637029,1041.6449120632583,999.762745796888,1637.6433253274058
0.0055,10.362613578212446,20.726746402400806,6.633142156045638,-1.4265630809871794,1020.6973890500846,1043.8019974075971,1001.7322585025887,1641.394778100169
0.006,11.303706896404906,31.536210071205495,7.235760813269217,5.805494418308946,1022.5712769746964,1045.9569685209008,1003.6998408234311,1645.1425539493928
0.0065,12.244549198052383,39.645324616321446,7.838276634315246,15.856134964469524,1024.4431599879779,1048.1096339861745,1005.6653179873767,1648.8863199759558
0.007,13.185119590275571,42.842915814531636,8.440681056100235,26.656716035278844,1026.3128718184564,1050.259802591225,1007.6285154093794,1652.625743636913
0.0075,14.125397186233336,40.4468184641906,9.042965517123925,35.975058077810814,1028.1802463875165,1052.407283345644,1009.5892587068923,1656.360492775033
0.008,15.065361105586545,33.516257570175185,9.645121457590962,41.90202878782665,1030.0451178241515,1054.551885497774,1011.547373715359,1660.0902356483027
0.0085,16.00499047496174,24.52205788073521,10.247140319532562,43.267707305075206,1031.9073204796973,1056.6934185516518,1013.5026865036821,1663.8146409593944
0.009,16.944264428414687,16.577360107494517,10.84901354692812,39.896409960212424,1033.7666889425468,1058.8316922839288,1015.4550233896741,1667.5333778850936
0.0095,17.883162107893703,12.468355832576922,11.450732585826827,32.64498528820816,1035.623058052842,1060.9665167607684,1017.4042109554841,1671.246116105684
0.01,18.821662663702867,13.786816118504117,12.052288884469235,23.216030495029905,1037.4762629171448,1063.0977023547166,1019.3500760630021,1674.9525258342899
0.0105,19.759745254965004,20.434495962748844,12.653673893408788,13.78674575066951,1039.326138923084,1065.2250597615466,1021.2924458692382,1678.652277846168
0.011,20.697389050084503,30.653715370441088,13.254879065633343,6.53433122980816,1041.1725217539763,1067.3484000170727,1023.2311478416751,1682.3450435079526
0.0115,21.634573227209923,41.57459580732427,13.85589585668663,3.16138415248129,1043.0152474034226,1069.467534513936,1025.1660097735937,1686.0304948068454
0.012,22.571276974696335,50.10857316536963,14.456715724789692,4.524753077105093,1044.8541521898762,1071.5822750183577,1027.0968597993701,1689.7083043797525
0.0125,23.50747949156753,53.909997207306965,15.057330130962292,10.448754367159971,1046.6890727711811,1073.6924336868583,1029.02352640974,1693.378145542362
0.013,24.443159987977886,52.106429129492994,15.657730539144247,19.763467204596765,1048.5198461590815,1075.7978230829438,1030.9458384670356,1697.039692318163
0.0135,25.378297685674085,45.570263370045105,16.257908416316774,30.559759336755743,1050.3463097336994,1077.8982561937544,1032.8636252203844,1700.6926194673988
0.014,26.3128718184565,36.647105801692696,16.85785523262374,40.60545127166617,1052.1683012579795,1079.9935464466762,1034.7767163208784,1704.3366025159587
0.0145,27.24686163264034,28.425476169894203,17.4575624614929,47.83190055744301,1053.9856588920993,1082.0835077259142,1036.6849418367042,1707.9713177841986
0.015,28.180246387516533,23.775208649291432,18.05702157975707,50.78493712203201,1055.798221207846,1084.1679543890227,1038.588132268238,1711.5964424156916
0.0155,29.113005355812287,24.45393887908016,18.65622406777528,48.94185165323711,1057.6058272029538,1086.246701283397,1040.4861185631016,1715.2116544059077
0.016,30.04511782415141,30.559867511039066,19.25516140955384,42.8253376883924,1059.408316315407,1088.319563762718,1042.3787321311772,1718.816632630814
0.0165,30.976563093514226,40.501179137808336,19.853825092867368,33.8895495249144,1061.2055284377002,1090.386357703355,1044.2658048595852,1722.4110568754004
0.017,31.90732047969726,51.49163783932116,20.45220660937978,24.20311384049872,1062.997303931061,1092.44689952072,1046.147169127614,1725.994607862122
0.0175,32.83736931377259,60.418058573890626,21.0502974547652,15.998194353599386,1064.7834836396298,1094.5010061855744,1048.0226578216113,1729.5669672792596
0.018,33.76668894254677,64.80957227206804,21.648089128828843,11.183907544256055,1066.5639089045974,1096.548495240287,1049.8921043498272,1733.1278178091948
0.0185,34.695258729019535,63.606909617626144,22.245573135627815,10.930158459018731,1068.3384215782967,1098.589184815041,1051.7553426572115,1736.6768431565933
0.019,35.62305805284202,57.4921915116924,22.84274098359183,15.412614964252938,1070.1068640382518,1100.6228936439895,1053.6122072401645,1740.2137280765037
0.0195,36.55006631077471,48.67654788878208,23.43958418564394,23.774412732957707,1071.8690792011782,1102.6494410813548,1055.462533161237,1743.7381584023562
0.02,37.47626291714493,40.211688523867515,24.036094259321132,34.31293877830587,1073.6249105369357,1104.668647117476,1057.3061560637823,1747.2498210738713
0.0205,38.401627304304,35.039764231852025,24.632262726894872,44.85097716084212,1075.3742020824325,1106.6803323947975,1059.1429121865542,1750.748404164865
0.021,39.32613892308402,35.07733861587808,25.22808111549162,53.21131194804194,1077.1167984554793,1108.6843182238013,1060.9726383782534,1754.2335969109586
0.0215,40.24977724325406,40.618670401099756,25.82354095721323,57.691330173870334,1078.8525448685903,1110.6804265988787,1062.7951721120196,1757.7050897371803
0.022,41.17252175397626,50.244090908053636,26.41863378925729,57.434167545979705,1080.5812871427324,1112.6684802141424,1064.6103514998692,1761.162574285465
0.0225,42.09435196426113,61.26200280336039,27.01335115403742,52.615491979249576,1082.3028717210218,1114.648302479175,1066.418015307073,1764.6057434420436
0.023,43.01524740342268,70.54688640301396,27.607684599303454,44.40520858260388,1084.0171456823612,1116.6197175347154,1068.2180029664794,1768.0342913647225
0.0235,43.935187621532954,75.51240516905784,28.20162567826158,34.71243391231529,1085.7239567550257,1118.5825502682794,1070.0101545927769,1771.4479135100514
0.024,44.85415218987623,74.91663969705266,28.795165949694365,25.769331776928937,1087.4231533301866,1120.5366263297146,1071.794310996696,1774.846306660373
0.0245,45.772120701402585,69.2487453039146,29.38829697808076,19.64452895808809,1089.1145844753792,1122.4817721466861,1073.5703136991483,1778.2291689507585
0.025,46.68907277118108,60.57664963863621,29.98101033371594,17.792179871012202,1090.7980999479093,1124.4178149400957,1075.3380049453049,1781.5961998958187
